DRUH	NOVÁ AKREDITACE	NÁZEV SP/SO	TYP SP	NÁZEV SP	VYSOKÁ ŠKOLA	FAKULTA	FS	ISCED-F	SDS	JAZYK	PROFIL	OV1	PODIL OV1	OV2	PODIL OV2	OV3	PODIL OV3	OV4	PODIL OV4	OV5	PODIL OV5	KRAJ	PLATNOST AKREDITACE DO
SO	NE	Accountancy and Financial Management	doktorský	Finance a účetnictví	Vysoká škola ekonomická v Praze	Fakulta financí a účetnictví	3, 1	0411	3	angličtina												Praha	31.12.2024
SP	ANO	Accountancy and Financial Management	doktorský	Accountancy and Financial Management	Vysoká škola ekonomická v Praze	Fakulta financí a účetnictví	3, 1	0411	4	angličtina		Ekonomické obory 	100		0		0					Praha	1.10.2028
SO	NE	Accounting and Taxes	navazující magisterský	Economic Policy and Administration	Mendelova univerzita v Brně	Provozně ekonomická fakulta	1	0411	2	angličtina												Jihomoravský	31.12.2024
SO	NE	Acoustics	doktorský	Electrical Engineering and Informatics	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0533	4	angličtina												Praha	31.12.2024
SP	ANO	Acoustics	doktorský	Acoustics	České vysoké učení technické v Praze	Fakulta elektrotechnická	3, 1	0788	4	angličtina		Fyzika	25	Strojírenství, technologie a materiály	25	Stavebnictví 	25	Elektrotechnika 	25		0	Praha	27.2.2029
SP	ANO	Acoustics	doktorský	Acoustics	České vysoké učení technické v Praze	Fakulta stavební	3, 1	0788	4	angličtina		Fyzika	25	Strojírenství, technologie a materiály	25	Stavebnictví 	25	Elektrotechnika 	25		0	Praha	27.2.2029
SP	ANO	Acoustics	doktorský	Acoustics	České vysoké učení technické v Praze	Fakulta strojní	3, 1	0788	4	angličtina		Fyzika	25	Strojírenství, technologie a materiály	25	Stavebnictví 	25	Elektrotechnika 	25		0	Praha	27.2.2029
SO	NE	Adapted Physical Activity	navazující magisterský	Physical Education and Sport	Univerzita Palackého v Olomouci	Fakulta tělesné kultury	1		2	angličtina												Olomoucký	31.12.2024
SP	ANO	Addiction: Specialization in Health Care 	doktorský	Addiction: Specialization in Health Care 	Univerzita Karlova	1. lékařská fakulta	3, 1	0988	4	angličtina		Zdravotnické obory 	100		0		0		0		0	Praha	1.9.2030
SO	NE	Addictology	doktorský	Specializace ve zdravotnictví	Univerzita Karlova	1. lékařská fakulta	3, 1	0912	4	angličtina												Praha	31.12.2024
SO	NE	Addictology	navazující magisterský	Specializace ve zdravotnictví	Univerzita Karlova	1. lékařská fakulta	3, 1	0912	2	angličtina												Praha	31.12.2024
SP	ANO	Addictology	navazující magisterský	Addictology	Univerzita Karlova	1. lékařská fakulta	3, 1	0912	2	angličtina	akademicky zaměřený	Zdravotnické obory 	100		0		0					Praha	28.8.2028
SP	ANO	Additive technology	navazující magisterský	Additive technology	Vysoká škola báňská – Technická univerzita Ostrava	Fakulta strojní	1	0788	2	angličtina	akademicky zaměřený	Strojírenství, technologie a materiály	100		0		0		0		0	Moravskoslezský	4.8.2033
SO	NE	Adiktologie	bakalářský	Specializace ve zdravotnictví	Univerzita Karlova	1. lékařská fakulta	1	0912	3	čeština												Praha	31.12.2024
SO	NE	Adiktologie	bakalářský	Specializace ve zdravotnictví	Univerzita Karlova	1. lékařská fakulta	3	0912	3	čeština												Praha	31.12.2024
SO	NE	Adiktologie	doktorský	Specializace ve zdravotnictví	Univerzita Karlova	1. lékařská fakulta	3, 1	0912	4	čeština												Praha	31.12.2024
SO	NE	Adiktologie	navazující magisterský	Specializace ve zdravotnictví	Univerzita Karlova	1. lékařská fakulta	3, 1	0912	2	čeština												Praha	31.12.2024
SP	ANO	Adiktologie	bakalářský	Adiktologie	Univerzita Karlova	1. lékařská fakulta	3, 1	0988	3	čeština	profesně zaměřený	Zdravotnické obory 	100		0		0					Praha	16.7.2028
SP	ANO	Adiktologie	navazující magisterský	Adiktologie	Univerzita Karlova	1. lékařská fakulta	3, 1	0988	2	čeština	akademicky zaměřený	Zdravotnické obory 	100		0		0					Praha	28.8.2028
SP	ANO	Adiktologie: Specializace ve zdravotnictví	doktorský	Adiktologie: Specializace ve zdravotnictví	Univerzita Karlova	1. lékařská fakulta	3, 1	0988	4	čeština		Zdravotnické obory 	100		0		0		0		0	Praha	1.9.2030
SP	ANO	Aditivní technologie	navazující magisterský	Aditivní technologie	Vysoká škola báňská – Technická univerzita Ostrava	Fakulta strojní	3, 1	0788	2	čeština	akademicky zaměřený	Strojírenství, technologie a materiály	100		0		0		0		0	Moravskoslezský	4.8.2033
SP	ANO	Administrace IS/ICT	bakalářský	Administrace IS/ICT	Mendelova univerzita v Brně	Provozně ekonomická fakulta	3, 1	0612	3	čeština	profesně zaměřený	Informatika	100		0		0		0		0	Jihomoravský	2.10.2029
SO	NE	Administrative Law and Administrative Science	doktorský	Teoretické právní vědy	Univerzita Karlova	Právnická fakulta	3, 1	0421	3	angličtina												Praha	31.12.2024
SO	NE	Administrative Law and Administrative Science	doktorský	Teoretické právní vědy	Univerzita Karlova	Právnická fakulta	3, 1	0421	3	angličtina												Praha	31.12.2024
SO	NE	Adult Education	bakalářský	Specialization in Education	Univerzita Jana Amose Komenského Praha s.r.o.		1		3	angličtina												Praha	31.12.2024
SO	NE	Adult Education	bakalářský	Specialization in Education	Univerzita Jana Amose Komenského Praha s.r.o.		3		3	angličtina												Praha	31.12.2024
SP	ANO	Adult Education	doktorský	Adult Education	Univerzita Palackého v Olomouci	Filozofická fakulta	3, 1	0111	4	angličtina		Neučitelská pedagogika 	100		0		0		0		0	Olomoucký	8.8.2028
SO	NE	Advanced Engineering Materials	navazující magisterský	Materials Engineering	Vysoká škola báňská – Technická univerzita Ostrava	"Fakulta materiálově-technologická
"	3, 1		2	angličtina												Moravskoslezský	31.12.2024
SP	ANO	Advanced Engineering Materials	navazující magisterský	Advanced Engineering Materials	Vysoká škola báňská – Technická univerzita Ostrava	"Fakulta materiálově-technologická
"	1	0715	2	angličtina	akademicky zaměřený	Strojírenství, technologie a materiály	100		0		0					Moravskoslezský	5.1.2029
SO	NE	Advanced Masters in Structural Analysis of Monuments and Historical Constructions	navazující magisterský	Civil Engineering	České vysoké učení technické v Praze	Fakulta stavební	1	0732	1	angličtina												Praha	31.12.2024
SO	NE	Advanced Materials	doktorský	Advanced Materials and Nanosciences	Masarykova univerzita	Přírodovědecká fakulta	3, 1		4	angličtina												Jihomoravský	31.12.2024
SO	NE	Advanced Materials	doktorský	Advanced Materials and Nanosciences	Vysoké učení technické v Brně	Celoškolská pracoviště	3, 1		4	angličtina												Jihomoravský	31.12.2024
SP	ANO	Advanced Materials and Nanosciences	doktorský	Advanced Materials and Nanosciences	Vysoké učení technické v Brně	Celoškolská pracoviště	3, 1	0588	4	angličtina		Fyzika	40	Chemie 	30	Strojírenství, technologie a materiály	30		0		0	Jihomoravský	1.5.2031
SO	NE	Advanced Nanotechnologies and Microtechnologies	doktorský	Advanced Materials and Nanosciences	Masarykova univerzita	Přírodovědecká fakulta	3, 1		4	angličtina												Jihomoravský	31.12.2024
